bond_length,vqe_energy,fci_energy,hf_energy
0.3,-0.5984345096974081,-0.6018037107656871,-0.5938277585357272
0.3758620689655172,-0.8499395068941314,-0.8600136565414325,-0.8507126347769793
0.4517241379310345,-0.9972002050326827,-1.0007725559991238,-0.9898291000205737
0.5275862068965518,-1.0760816088359497,-1.0778188250355827,-1.0648938950677764
0.603448275862069,-1.1140945549254115,-1.1175116330900527,-1.1022387706386856
0.6793103448275863,-1.1318206281590397,-1.134338069605723,-1.1163198953758435
0.7551724137931035,-1.1341901368549696,-1.1369694904153747,-1.115772491614981
0.8310344827586207,-1.1305610614991264,-1.1308319320646865,-1.105976690259296
0.9068965517241381,-1.118126155404389,-1.1193613446428072,-1.0903095698996266
0.9827586206896552,-1.102963122210514,-1.1047496774099481,-1.070892763482052
1.0586206896551726,-1.084969601598665,-1.088437335664573,-1.0490913819670622
1.1344827586206898,-1.070623395522404,-1.0714253398010647,-1.0258354869389192
1.210344827586207,-1.0514890989639196,-1.054450018209844,-1.0018045113807776
1.2862068965517244,-0.9921226468473756,-1.0380670869687927,-0.9775199063418392
1.3620689655172415,-1.020896393938514,-1.0226879154139814,-0.953388107629195
1.437931034482759,-0.9471338452002781,-1.0085970552331702,-0.9297225521870016
1.5137931034482761,-0.9932625160365173,-0.995965803024738,-0.906759113225228
1.5896551724137933,-0.9670209568135294,-0.9848670834734854,-0.8846697425910461
1.6655172413793107,-0.9477177251645139,-0.9752924481967783,-0.863574792268034
1.7413793103448278,-0.9279217545573192,-0.9671704284626838,-0.8435534663684544
1.8172413793103452,-0.9394252982373937,-0.9603850620343348,-0.8246521536676339
1.8931034482758624,-0.9404611804374009,-0.9547933288562418,-0.8068908745131997
1.9689655172413796,-0.9432639644907693,-0.9502403374413957,-0.7902683377975452
2.044827586206897,-0.9299562393387348,-0.9465714298706842,-0.7747661158713
2.120689655172414,-0.9321806874661585,-0.9436408561722334,-0.7603523071020621
2.1965517241379313,-0.9319596588766984,-0.9413171602929953,-0.7469848735182831
2.2724137931034485,-0.9275698291909134,-0.9394857841429647,-0.7346146874675157
2.3482758620689657,-0.9333016590794473,-0.9380495750013697,-0.7231882304374896
2.424137931034483,-0.9331907636237912,-0.9369278932373187,-0.7126498618998386
2.5,-0.9328952941143819,-0.9360549199556063,-0.7029435997235272
